"annotation_id","annotator","bbox","created_at","id","label","lead_time","ocr","transcription","updated_at"
16,"1","[{""x"":26.409511228533685,""y"":62.48348745046234,""width"":58.5891677675033,""height"":34.4782034346103,""rotation"":0,""original_width"":25,""original_height"":42}]","2024-11-10T05:27:23.780774Z",1,"[{""x"":26.409511228533685,""y"":62.48348745046234,""width"":58.5891677675033,""height"":34.4782034346103,""rotation"":0,""labels"":[""„""],""original_width"":25,""original_height"":42}]",42.173,"/data/upload/8/fb17df6e-11.jpg","„","2024-11-10T05:27:23.780802Z"
17,"1","[{""x"":5.00590975457137,""y"":9.247027741083222,""width"":74.58805534311341,""height"":36.9881109643329,""rotation"":0,""original_width"":19,""original_height"":36}]","2024-11-10T05:28:00.661869Z",2,"[{""x"":5.00590975457137,""y"":9.247027741083222,""width"":74.58805534311341,""height"":36.9881109643329,""rotation"":0,""labels"":[""”""],""original_width"":19,""original_height"":36}]",49.429,"/data/upload/8/ba088f0f-10.jpg","”","2024-11-11T08:23:04.281346Z"
18,"1","[{""x"":3.307939053728949,""y"":10.991379310344827,""width"":84.00160384923818,""height"":50,""rotation"":0,""original_width"":43,""original_height"":20}]","2024-11-10T05:28:36.200241Z",3,"[{""x"":3.307939053728949,""y"":10.991379310344827,""width"":84.00160384923818,""height"":50,""rotation"":0,""labels"":[""—""],""original_width"":43,""original_height"":20}]",48.503,"/data/upload/8/5f77710e-9.jpg","—","2024-11-11T08:23:22.252363Z"
19,"1","[{""x"":1.8676262925340499,""y"":6.208718626155878,""width"":98.13237370746594,""height"":82.43064729194188,""rotation"":0,""original_width"":29,""original_height"":41}]","2024-11-10T05:29:16.222222Z",4,"[{""x"":1.8676262925340499,""y"":6.208718626155878,""width"":98.13237370746594,""height"":82.43064729194188,""rotation"":0,""labels"":[""Ғ""],""original_width"":29,""original_height"":41}]",55.722,"/data/upload/8/c097f073-8.jpg","Ғ","2024-11-11T08:23:41.397898Z"
20,"1","[{""x"":6.538969616908852,""y"":16.248348745046233,""width"":92.41743725231176,""height"":70.54161162483489,""rotation"":0,""original_width"":20,""original_height"":33}]","2024-11-10T05:29:31.608791Z",5,"[{""x"":6.538969616908852,""y"":16.248348745046233,""width"":92.41743725231176,""height"":70.54161162483489,""rotation"":0,""labels"":[""ғ""],""original_width"":20,""original_height"":33}]",39.355000000000004,"/data/upload/8/44ac9777-7.jpg","ғ","2024-11-11T08:24:08.633784Z"
21,"1","[{""x"":2.0102234219746133,""y"":3.963011889035667,""width"":97.98977657802538,""height"":83.88375165125495,""rotation"":0,""original_width"":23,""original_height"":35}]","2024-11-10T05:29:48.251209Z",6,"[{""x"":2.0102234219746133,""y"":3.963011889035667,""width"":97.98977657802538,""height"":83.88375165125495,""rotation"":0,""labels"":[""ҳ""],""original_width"":23,""original_height"":35}]",27.666,"/data/upload/8/56b20a11-6.jpg","ҳ","2024-11-11T08:24:22.964283Z"
22,"1","[{""x"":6.208718626155878,""y"":6.208718626155879,""width"":92.37820743765263,""height"":86.65785997357993,""rotation"":0,""original_width"":33,""original_height"":47}]","2024-11-10T05:30:55.122531Z",7,"[{""x"":6.208718626155878,""y"":6.208718626155879,""width"":92.37820743765263,""height"":86.65785997357993,""rotation"":0,""labels"":[""Ҳ""],""original_width"":33,""original_height"":47}]",82.74000000000001,"/data/upload/8/e537d229-5.jpg","Ҳ","2024-11-11T08:24:41.776953Z"
23,"1","[{""x"":9.321003963011888,""y"":11.492734478203435,""width"":90.67899603698811,""height"":81.90224570673712,""rotation"":0,""original_width"":25,""original_height"":36}]","2024-11-10T05:31:10.880933Z",8,"[{""x"":9.321003963011888,""y"":11.492734478203435,""width"":90.67899603698811,""height"":81.90224570673712,""rotation"":0,""labels"":[""қ""],""original_width"":25,""original_height"":36}]",30.857,"/data/upload/8/4c758b20-4.jpg","қ","2024-11-11T08:24:59.705801Z"
24,"1","[{""x"":2.97225891677675,""y"":7.133421400264201,""width"":97.02774108322325,""height"":88.77146631439895,""rotation"":0,""original_width"":30,""original_height"":45}]","2024-11-10T05:31:28.337737Z",9,"[{""x"":2.97225891677675,""y"":7.133421400264201,""width"":97.02774108322325,""height"":88.77146631439895,""rotation"":0,""labels"":[""Қ""],""original_width"":30,""original_height"":45}]",30.348000000000003,"/data/upload/8/4237477b-3.jpg","Қ","2024-11-11T08:25:15.722608Z"
25,"1","[{""x"":16.825418897309323,""y"":0.3963011889035667,""width"":78.92651046374193,""height"":96.56538969616909,""rotation"":0,""original_width"":38,""original_height"":44}]","2024-11-10T05:31:43.915212Z",10,"[{""x"":16.825418897309323,""y"":0.3963011889035667,""width"":78.92651046374193,""height"":96.56538969616909,""rotation"":0,""labels"":[""Ў""],""original_width"":38,""original_height"":44}]",32.06,"/data/upload/8/008d4c72-2.jpg","Ў","2024-11-11T08:25:35.105879Z"
26,"1","[{""x"":4.951318557659377,""y"":1.453104359313078,""width"":87.09819462791722,""height"":92.47027741083224,""rotation"":0,""original_width"":27,""original_height"":46}]","2024-11-10T05:31:58.367721Z",11,"[{""x"":4.951318557659377,""y"":1.453104359313078,""width"":87.09819462791722,""height"":92.47027741083224,""rotation"":0,""labels"":[""ў""],""original_width"":27,""original_height"":46}]",30.310000000000002,"/data/upload/8/ec450ed9-1.jpg","ў","2024-11-11T08:25:53.941365Z"
27,"1","[{""x"":11.91545574636724,""y"":43.46103038309115,""width"":50.56803170409512,""height"":40.55482166446499,""rotation"":0,""original_width"":15,""original_height"":33}]","2024-11-10T05:33:54.072247Z",12,"[{""x"":11.91545574636724,""y"":43.46103038309115,""width"":50.56803170409512,""height"":40.55482166446499,""rotation"":0,""labels"":["",""],""original_width"":15,""original_height"":33}]",40.128,"/data/upload/8/e3f15200-12.jpg",",","2024-11-11T08:26:10.932657Z"
28,"1","[{""x"":7.506410754526381,""y"":9.907529722589166,""width"":84.52871240966662,""height"":36.72391017173051,""rotation"":0,""original_width"":17,""original_height"":42}]","2024-11-11T07:59:31.066851Z",13,"[{""x"":7.506410754526381,""y"":9.907529722589166,""width"":84.52871240966662,""height"":36.72391017173051,""rotation"":0,""labels"":[""”""],""original_width"":17,""original_height"":42}]",43.511,"/data/upload/8/8c545b14-34.jpg","""","2024-11-11T08:00:37.459794Z"
29,"1","[{""x"":13.394980184940556,""y"":1.1889035667107,""width"":77.79392338177016,""height"":36.32760898282695,""rotation"":0,""original_width"":20,""original_height"":39}]","2024-11-11T08:00:15.189507Z",14,"[{""x"":13.394980184940556,""y"":1.1889035667107,""width"":77.79392338177016,""height"":36.32760898282695,""rotation"":0,""labels"":[""”""],""original_width"":20,""original_height"":39}]",42.004,"/data/upload/8/217c3dfd-33.jpg","""","2024-11-11T08:00:15.189570Z"
30,"1","[{""x"":14.557463672391016,""y"":60.10568031704096,""width"":72.78731836195507,""height"":36.98811096433288,""rotation"":0,""original_width"":20,""original_height"":38}]","2024-11-11T08:01:39.747574Z",15,"[{""x"":14.557463672391016,""y"":60.10568031704096,""width"":72.78731836195507,""height"":36.98811096433288,""rotation"":0,""labels"":[""„""],""original_width"":20,""original_height"":38}]",53.466,"/data/upload/8/ab2a8144-32.jpg","„","2024-11-11T08:01:39.747629Z"
31,"1","[{""x"":12.792880483904609,""y"":7.793923381770146,""width"":73.42000973371341,""height"":34.61030383091149,""rotation"":0,""original_width"":19,""original_height"":40}]","2024-11-11T08:01:54.867658Z",16,"[{""x"":12.792880483904609,""y"":7.793923381770146,""width"":73.42000973371341,""height"":34.61030383091149,""rotation"":0,""labels"":[""”""],""original_width"":19,""original_height"":40}]",12.722,"/data/upload/8/f4ff16d9-31.jpg","""","2024-11-11T08:01:54.867715Z"
34,"1","[{""x"":10.303830911492737,""y"":2.642007926023778,""width"":89.69616908850726,""height"":89.43196829590488,""rotation"":0,""original_width"":29,""original_height"":39}]","2024-11-11T08:03:23.184610Z",17,"[{""x"":10.303830911492737,""y"":2.642007926023778,""width"":89.69616908850726,""height"":89.43196829590488,""rotation"":0,""labels"":[""Ғ""],""original_width"":29,""original_height"":39}]",49.14,"/data/upload/8/5640563a-30.jpg","Ғ","2024-11-11T08:03:23.184662Z"
35,"1","[{""x"":5.680317040951122,""y"":2.642007926023778,""width"":89.4191843865854,""height"":84.5442536327609,""rotation"":0,""original_width"":31,""original_height"":43}]","2024-11-11T08:03:38.256048Z",18,"[{""x"":5.680317040951122,""y"":2.642007926023778,""width"":89.4191843865854,""height"":84.5442536327609,""rotation"":0,""labels"":[""Ғ""],""original_width"":31,""original_height"":43}]",13.191,"/data/upload/8/e695e517-29.jpg","Ғ","2024-11-11T08:03:38.256099Z"
46,"1","[{""x"":12.490826361367974,""y"":3.963011889035667,""width"":85.74783502128284,""height"":89.16776750330251,""rotation"":0,""original_width"":36,""original_height"":46}]","2024-11-11T08:07:46.277436Z",19,"[{""x"":12.490826361367974,""y"":3.963011889035667,""width"":85.74783502128284,""height"":89.16776750330251,""rotation"":0,""labels"":[""Ў""],""original_width"":36,""original_height"":46}]",14.764,"/data/upload/8/0d9424f9-28.jpg","Ў","2024-11-11T08:07:46.277495Z"
47,"1","[{""x"":2.1616428485649095,""y"":1.7173051519154559,""width"":96.91365437732676,""height"":89.82826948480846,""rotation"":0,""original_width"":33,""original_height"":45}]","2024-11-11T08:08:07.066699Z",20,"[{""x"":2.1616428485649095,""y"":1.7173051519154559,""width"":96.91365437732676,""height"":89.82826948480846,""rotation"":0,""labels"":[""Ў""],""original_width"":33,""original_height"":45}]",19.185,"/data/upload/8/7fbce758-27.jpg","Ў","2024-11-11T08:08:07.066750Z"
