left,top,width,height
28,197,25,38
68,195,88,39
171,197,65,39
245,221,6,3
260,203,36,28
311,211,23,20
6,252,2,2
31,239,61,30
107,239,66,28
187,247,69,22
269,241,54,29
32,279,55,29
103,281,27,35
146,276,28,40
187,275,25,36
214,280,62,27
285,284,60,19
33,314,55,28
76,309,12,41
94,313,34,29
145,322,32,19
199,314,51,29
269,328,55,18
33,351,86,31
90,347,35,46
134,358,83,23
239,353,24,21
263,353,70,29
337,259,17,12
341,199,32,36
385,202,54,36
458,198,22,44
508,197,49,38
571,196,24,41
609,196,60,31
355,237,23,29
375,238,7,37
393,242,33,29
443,210,51,61
508,219,41,44
570,239,23,30
604,237,45,28
659,238,44,26
339,280,18,22
372,280,61,30
447,275,90,33
550,277,45,30
609,270,94,34
348,315,33,22
395,316,39,28
443,325,15,16
467,315,21,20
500,313,61,28
575,310,58,29
667,301,36,38
349,354,72,36
422,353,69,28
500,350,71,27
580,355,34,22
627,346,81,35
34,388,51,28
99,388,87,28
188,387,41,29
246,393,50,24
299,389,49,26
356,393,24,24
397,384,27,32
438,374,17,49
469,385,82,29
566,378,68,35
647,379,55,26
35,426,87,30
137,426,28,59
180,426,78,34
271,423,35,36
303,437,21,27
699,417,4,21
341,431,14,24
368,432,60,23
413,425,21,34
441,430,70,24
490,425,23,34
526,430,29,17
572,418,37,32
625,418,61,32
692,423,6,21
38,464,24,28
77,462,44,31
134,472,11,21
136,464,29,28
185,464,69,28
271,462,52,32
339,465,47,28
399,460,23,37
418,464,55,28
487,469,43,21
526,453,65,43
600,453,11,43
612,455,13,30
639,454,77,31
39,503,68,30
116,512,48,50
165,502,54,28
220,513,30,18
255,517,11,14
275,502,50,29
322,499,21,25
42,543,85,28
129,541,87,43
223,537,23,40
251,541,77,28
344,513,20,16
367,500,66,31
457,502,19,20
478,501,62,28
554,474,57,51
623,490,117,31
342,540,65,33
425,539,64,28
504,536,105,30
621,532,81,29
39,584,87,26
132,579,54,26
194,580,46,27
244,582,13,23
263,578,74,30
39,615,43,32
98,618,33,29
138,613,117,34
231,609,25,42
263,615,71,27
350,580,43,25
401,579,40,25
449,574,87,37
550,571,94,30
651,561,52,41
343,615,68,22
420,626,14,16
443,612,63,28
509,611,52,26
563,603,28,38
607,608,26,29
635,603,20,38
673,607,29,28
39,635,92,48
150,631,53,69
181,653,54,28
243,653,41,28
292,648,134,52
430,655,70,40
514,646,27,38
555,646,78,28
633,645,69,55
41,694,34,6
233,691,15,9
265,677,26,23
303,677,12,23
501,686,39,14
545,676,26,24
579,676,16,24
615,685,12,15
